Character,Sentence,movie_number,identified_spells
Filch  ,It's still hot. ,film 1,
Filch  ,That means there's a student out of bed.,film 1,
Harry  ,Mum? Dad? ,film 1,
Harry  ,Ron! You've really got to see this! ,film 1,
Harry  ,Ron! You've got to see this! ,film 1,
Harry  ,"Ron, Ron, come on. Get out of bed!",film 1,
Ron ,Why?,film 1,
Harry  ,There's something you've got to see. ,film 1,
Harry  ,"Now, come on!",film 1,
Harry  ,"Come on. Come. Come look, it's my parents!",film 1,
Ron  ,I only see us.,film 1,
Harry,Look in properly. Go on. ,film 1,
Harry,Stand there. There. ,film 1,
Harry,"You see them, don't you? ",film 1,
Harry,Thats my dad,film 1,
Ron  ,"That's me! Only, I'm head boy...and ",film 1,
Ron  ,I'm holding the Quidditch cup! ,film 1,
Ron  ,"And bloody hell, I'm Quidditch Captain too! ",film 1,
Ron  ,I look good. ,film 1,
Ron  ,"Harry, do you think this mirror shows the future?",film 1,
Harry  ,How can it? ,film 1,
Harry  ,Both my parents are dead.,film 1,
George  ,"Do you like yours, Ron?",film 1,
George  ,Ron?,film 1,
Ron,I'll be right back.,film 1,
Ron,Wanna play chess?,film 1,
Harry,No.,film 1,
Ron,Wanna go and visit Hagrid?,film 1,
Harry,No.,film 1,
Ron,"Harry, I know what you're thinking, but don't.",film 1,
Ron,There's something not right about that mirror.,film 1,
Dumbledore  ,"Back again, Harry?",film 1,
Dumbledore  ,"I see that you, like so many before you, have discovered the delights of the Mirror of Erised. ",film 1,
Dumbledore  ,I trust by now you realize what it does. ,film 1,
Dumbledore  ,Let me give you a clue. ,film 1,
Dumbledore  ,"The happiest man on earth would look into the mirror and see only himself, exactly as he is.",film 1,
Harry  ,"So, then it shows us what we want? ",film 1,
Harry  ,Whatever we want?,film 1,
Dumbledore  ,Yes...and no. ,film 1,
Dumbledore  ,"It shows us nothing more or less than the deepest, most desperate desires of our hearts. ",film 1,
Dumbledore  ,"Now you, who have never known your family, you see them standing beside you. ",film 1,
Dumbledore  ,"But remember this, Harry. ",film 1,
Dumbledore  ,This mirror gives us neither knowledge or truth. ,film 1,
Dumbledore  ,"Men have wasted away in front of it, even gone mad. ",film 1,
Dumbledore  ,"That is why tomorrow it will be moved to a new home, and I must ask you not to go looking for it again.",film 1,
Dumbledore  ,"It does not do to dwell on dreams, Harry, and forget to live.",film 1,
Hermione,"Look at you, playing with your cards.",film 1,
Hermione,Pathetic!,film 1,
Hermione,We've got final exams coming up soon.,film 1,
Ron,I'm ready. Ask me any question.,film 1,
Hermione,"Alright, what are the 3 most crucial ingredients in a Forgetfulness Potion?",film 1,
Ron,I forgot.,film 1,
Hermoine,"And what, may I ask, do you plan to do if this comes up in the final exam?",film 1,
Ron,Copy off you.,film 1,
Hermoine,"No, you won't.",film 1,
Hermoine,"Besides, according to Professor McGonagall, we're to be given special quills bewitched with an Anti Cheating Spell.",film 1,
Ron,That's insulting! ,film 1,
Ron,It's as if they don't trust us! Dumbledore again!,film 1,
Ron,Leg-Locker Curse?,film 1,
Harry,Malfoy.,film 1,
Ron,"You have got to start standing up to people, Neville.",film 1,
Neville,How? I can barely stand at all!,film 1,
Seamus,I'll do the countercurse!,film 1,
Neville,"No, that's all I need!",film 1,
Neville,You to set my bloody kneecups on fire!,film 1,
Seamus,"I don't appreciate the insinuation, Longbottom.",film 1,
Seamus,"Besides, if anyone cared to notice my eyebrows have completely grown back!",film 1,
Harry,I found him!,film 1,
Ron,Dumbledore is particularly famous for his defeat of the dark wizard Grindelwald in 1945.,film 1,
Harry,Go on!,film 1,
Ron,"For the discovery of the twelve uses of dragon blood...and his work on alchemy with his partner, Nicholas Flamel!",film 1,
Harry,I knew the name sound familiar.,film 1,
Harry,I read it on the train that day.,film 1,
Hermione,Follow me!,film 1,
Neville,Hey! Wait! Where are you going?,film 1,
Neville,What about the countercurse?,film 1,
Hermione  ,I had you looking in the wrong section! ,film 1,
Hermione  ,How could I be so stupid? ,film 1,
Hermione  ,I checked this out a few weeks ago for a bit of light reading.,film 1,
Ron  ,This is light?,film 1,
Hermione ,Of course! Here it is! ,film 1,
Hermione ,Nicholas Flamel is the only known maker of the Philosopher's Stone!,film 1,
Ron and Harry  ,The what?,film 1,
Hermione  ,"Honestly, don't you two read? ",film 1,
Hermione  ,The Philosopher's Stone is a legendary substance with astonishing powers. ,film 1,
Hermione  ,"It will turn any metal into pure gold and produces the Elixir of Life, which will make the drinker immortal.",film 1,
Ron  ,Immortal?,film 1,
Hermione  ,It means you'll never die.,film 1,
Ron , I know what it means!,film 1,
Harry, Shh!,film 1,
Hermione ,"The only stone currently in existence belongs to Mr. Nicholas Flamel, the noted alchemist, who last year celebrated his 665th birthday!",film 1,
Hermione ,That's what Fluffy's guarding on the 3rd floor. ,film 1,
Hermione ,That's what's under the trapdoor...,film 1,
Hermione ,the Philosopher's Stone!,film 1,
Harry  ,Hagrid!,film 1,
Hagrid,"Oh, hello. Sorry, don't wish to be rude, but I'm in no fit state to entertain today. ",film 1,
All 3  ,We know about the Sorcerer's Stone!,film 1,
Hagrid ,Oh.,film 1,
Harry  ,We think Snape's trying to steal it.,film 1,
Hagrid  ,"Snape? Blimey, Harry, you're not still on about him, are you?",film 1,
Harry  ,"Hagrid, we know he's after the Stone. ",film 1,
Harry  ,We just don't know why.,film 1,
Hagrid  ,Snape is one of the teachers protecting the Stone! ,film 1,
Hagrid  ,He's not about to steal it!,film 1,
Harry  ,What?,film 1,
Hagrid  ,You heard. Right. ,film 1,
Hagrid  ,"Come on, now, I'm a bit preoccupied today.",film 1,
Harry  ,Wait a minute.,film 1,
Harry  ,One of the teachers?,film 1,
Hermione,"Of course! There are other things defending the Stone, aren't there?",film 1,
Hermione,Spells and enchantments.,film 1,
Hagrid  ,That's right. ,film 1,
Hagrid  ,"Waste of bloody time, if you ask me.",film 1,
Hagrid  ,Ain't no one gonna get past Fluffy. ,film 1,
Hagrid  ,"Hehe, not a soul knows how. ",film 1,
Hagrid  ,Except for me and Dumbledore. ,film 1,
Hagrid  ,I shouldn't have told you that. ,film 1,
Hagrid  ,I shouldn't have told you that. ,film 1,
Hagrid  ,Oh! Ooh! Ooh! Ooh! Ooh! ,film 1,
Harry  ,"Uh, Hagrid, what exactly is that?",film 1,
Hagrid  ,That? It's a ... its um...,film 1,
Ron , I know what that is! ,film 1,
Ron ,"But Hagrid, how did you get one?",film 1,
Hagrid  ,I won it. Off a stranger I met down at a pub. ,film 1,
Hagrid  ,"Seemed quite glad to be rid off it, as a matter of fact.",film 1,
Hermione  ,Is that...a dragon?,film 1,
Ron  ,That's not just a dragon. ,film 1,
Ron  ,That's a Norwegian Ridgeback! ,film 1,
Ron  ,My brother Charlie works with these in Romania.,film 1,
Hagrid  ,"Isn't he beautiful? Oh. Bless him, look. ",film 1,
Hagrid  ,He knows his mummy. Hehe. ,film 1,
Hagrid  ,"Hallo, Norbert.",film 1,
Harry  ,Norbert?,film 1,
Hagrid  ,"Yeah, well, he's got to have a name, doesn't he?",film 1,
Hagrid  ,"Don't you, Norbert? Dededede.",film 1,
Hagrid  ,"Ohh! Oooh, ooh, ooh, well...",film 1,
Hagrid  ,"He'll have to be trained up a bit, of course. ",film 1,
Hagrid  ,Who's that?,film 1,
Harry ,Malfoy.,film 1,
Hagrid  ,"Oh, dear.",film 1,
Harry,Hagrid always wanted a dragon. ,film 1,
Harry,He told me so the first time I met him.,film 1,
Ron  ,It's crazy. ,film 1,
Ron  ,"And worse, Malfoy knows.",film 1,
Harry  ,I don't understand. ,film 1,
Hermione,Is that bad?,film 1,
Ron  ,It's bad.,film 1,
McGonagall,Good evening.,film 1,
McGonagall  ,"Nothing, I repeat, nothing gives a student the right to walk about the school at night. ",film 1,
McGonagall  ,"Therefore, as punishment for your actions, 50 points will be taken.",film 1,
Harry  ,50?!,film 1,
McGonagall ,"Each. And to ensure it doesn't happen again, all four of you will receive detention.",film 1,
Malfoy,"Excuse me, Professor. ",film 1,
Malfoy,Perhaps I heard you wrong. ,film 1,
Malfoy,"I thought you said...""the four of us.""",film 1,
McGonagall,"No, you heard me correctly, Mr. Malfoy. ",film 1,
McGonagall,"You see, as honorable as your intentions were, you too were out of bed after hours. ",film 1,
McGonagall,You will join your classmates in detention.,film 1,
Filch  ,A pity they let the old punishments die. ,film 1,
Filch  ,There was a time detention would find you hanging by your thumbs in the dungeons. ,film 1,
Filch  ,"God, I miss the screaming. ",film 1,
Filch  ,You'll be serving detention with Hagrid tonight.,film 1,
Filch  ,He's got a little job to do inside the dark forest.,film 1,
Filch  ,"A sorry lot this, Hagrid. ",film 1,
Filch  ,"Oh, good God, man, you're not still on about that bloody dragon, are you?",film 1,
Hagrid ,Norbert's gone.,film 1,
Hagrid ,Dumbledore sent him off to Romania to live in a colony.,film 1,
Hermione  ,"Well, that's good, isn't it? ",film 1,
Hermione  ,He'll be with his own kind.,film 1,
Hagrid  ,"Yeah, but what if he don't like Romania? ",film 1,
Hagrid  ,What if the other dragons are mean to him?,film 1,
Hagrid  ,"He's only a baby, after all.",film 1,
Filch  ,"Oh, for Gods sake, pull yourself together, man. ",film 1,
Filch  ,"You're going into the forest, after all. ",film 1,
Filch  ,Got to have your wits about you.,film 1,
Malfoy,The forest? I thought that was a joke! ,film 1,
Malfoy,We can't go in there. ,film 1,
Malfoy,Students aren't allowed.,film 1,
Malfoy, And there are...werewolves!,film 1,
Filch ," There's more than werewolves in those trees, lad. ",film 1,
Filch ,You can be sure of that.,film 1,
Filch ,Nighty-night.,film 1,
Hagrid ,Right. Let's go.,film 1,
Harry ," Hagrid, what's that?",film 1,
Hagrid  ,What we're here for. ,film 1,
Hagrid  ,"See that? That's unicorn's blood, that is. ",film 1,
Hagrid  ,I found one dead a few weeks ago. ,film 1,
Hagrid  ,"Now, this one's been injured bad by something. ",film 1,
Hagrid  ,"So, it's our job to find the poor beast. ",film 1,
Hagrid  ,"Ron, Hermione, you'll come with me.",film 1,
Ron,Okay.,film 1,
Hagrid ,And Harry you'll go with Malfoy. ,film 1,
Malfoy,Okay. Then I get Fang!,film 1,
Hagrid ,"Fine. Just so you know, he's a bloody coward. }",film 1,
Malfoy,You wait till my father hears about this. ,film 1,
Malfoy,This is servant's stuff.,film 1,
Harry ,"If I didn't know better, Draco, I'd say you were scared.",film 1,
Malfoy,"Scared, Potter?! ",film 1,
Malfoy,Did you hear that? ,film 1,
Malfoy,"Come on, Fang.  Scared.",film 1,
Harry ,"What is it, Fang?",film 1,
Malfoy,AHHHHHHHHH!!! AHHH! HELP!!!!!,film 1,
Firenze  ,"Harry Potter, you must leave. ",film 1,
Firenze  ,You are known to many creatures here. ,film 1,
Firenze  ,The forest is not safe at this time. ,film 1,
Firenze  ,Especially for you.,film 1,
Harry  ,But what was that thing you saved me from?,film 1,
Firenze ,A monstrous creature. ,film 1,
Firenze ,It is a terrible crime to slay a unicorn. ,film 1,
Firenze ,Drinking the blood of a unicorn will keep you alive even if you are an inch from death. ,film 1,
Firenze ,But at a terrible price. ,film 1,
Firenze ,"You have slain something so pure that the moment the blood touches your lips, you will have a half-life. ",film 1,
Firenze ,A cursed life.,film 1,
Harry  ,But who would choose such a life?,film 1,
Firenze  ,Can you think of no one?,film 1,
Harry , Do you mean to say...that that thing that killed the unicorn...,film 1,
Harry ,that was drinking its blood...that was Voldemort?,film 1,
Firenze  ,Do you know what is hidden in the school at this very moment?,film 1,
Harry  ,The Sorcerer's Stone.,film 1,
Hermione  ,Harry!,film 1,
Hagrid ,"Hello there, Firenze. ",film 1,
Hagrid ,I see you've met our young Mr. Potter. ,film 1,
Hagrid ,"You all right there, Harry? ",film 1,
Firenze  ,"Harry Potter, this is where I leave you. ",film 1,
Firenze  ,You're safe now. Good luck.,film 1,
Hermione,"You mean, You-Know-Who's out there, right now, in the forest?",film 1,
Harry  ,But he's weak. ,film 1,
Harry  ,He's living off the unicorns. ,film 1,
Harry  ,Don't you see? We had it wrong. ,film 1,
Harry  ,"Snape doesn't want the stone for himself, he wants the stone for Voldemort. ",film 1,
Harry  ,"With the Elixir of Life, Voldemort will be strong again. ",film 1,
Harry  ,He'll He'll come back. ,film 1,
Ron  ,"But if he comes back, you don't think he'll try to kill you, do you?",film 1,
Harry ," I think if he'd had the chance, he might have tried to kill me tonight.",film 1,
Ron ," And to think, I've been worrying about my Potions final!",film 1,
Hermione  ,Hang on a minute.,film 1,
Hermione  ,We're forgetting one thing. ,film 1,
Hermione  ,Who's the one wizard Voldemort always feared?,film 1,
Hermione  , Dumbledore! ,film 1,
Hermione  ,"As long as Dumbledore's around, you're safe. ",film 1,
Hermione  ,"As long as Dumbledore's around, you can't be touched. ",film 1,
Hermione ," I've always heard Hogwarts' end of the year exams were frightful, but I found that rather enjoyable.",film 1,
Ron  ,Speak for yourself.,film 1,
Ron  ," All right there, Harry?",film 1,
Harry  ,My scar. It keeps burning.,film 1,
Hermione  ,It's happened before.,film 1,
Harry  ,Not like this.,film 1,
Ron  ,Perhaps you should see the nurse.,film 1,
Harry , I think it's a warning.,film 1,
Harry , It means dangers coming. Uhh!  ,film 1,
Harry ,Oh. Of course!,film 1,
Hermione , What is it?,film 1,
Harry  ,"Don't you think it's a bit odd that what Hagrid wants more than anything is a dragon, and a stranger shows up and just happens to have one?",film 1,
Harry  ,"I mean, how many people wander around with dragon eggs in their pockets? ",film 1,
Harry  ,Why didn't I see it before? ,film 1,
Harry  ,"Hagrid, who gave you the dragon egg?",film 1,
Harry  , What did he look like?,film 1,
Hagrid  ,I don't know. ,film 1,
Hagrid  ,I never saw his face. ,film 1,
Hagrid  ,He kept his hood up.,film 1,
Harry  ,"The stranger, though, you and he must have talked.",film 1,
Hagrid  ,"Well, he wanted to know what sort of creatures I looked after. ",film 1,
Hagrid  ,"I told him. I said, ""After Fluffy, a dragon's gonna be no problem.""",film 1,
Harry , And did he seem interested in Fluffy?,film 1,
Hagrid ," Well, of course he was interested in Fluffy!",film 1,
Hagrid ," How often do you come across a three headed dog, even if you're in the trade? ",film 1,
Hagrid ,"But I told him. I said, ""The trick with any beast is to know how to calm him.",film 1,
Hagrid ," Take Fluffy, for example, just play him a bit of music and he falls straight to sleep.""",film 1,
Hagrid,  I shouldn't have told you that.,film 1,
Hagrid, Where you going?! Wait!,film 1,
Harry ," We have to see Professor Dumbledore, immediately!",film 1,
McGonagall  ,I'm afraid Professor Dumbledore is not here. ,film 1,
McGonagall  ,He received an urgent owl from the Ministry of Magic and left immediately for London.,film 1,
Harry  ,He's gone?! Now? ,film 1,
Harry  ,But this is important! ,film 1,
Harry  ,It's about...the Sorcerer's Stone.,film 1,
McGonagall ,How do you know?,film 1,
Harry  ,Someone's going to try and steal it.,film 1,
McGonagall  ,"I don't know how you three found out about the stone, but I can assure you it is perfectly well-protected. ",film 1,
McGonagall  ,Now would you go back to your dormitories? Quietly. ,film 1,
Harry  ,That was no stranger Hagrid met in the village. ,film 1,
Harry  ,"It was Snape, which means he knows how to get past Fluffy.",film 1,
Hermione , And with Dumbledore gone,film 1,
Snape , Good afternoon. ,film 1,
Snape ,"Now, what would three young Gryffindors such as yourselves be doing inside on a day like this?",film 1,
Hermione  ,Uh...we were just...,film 1,
Snape  ,You want to be careful.,film 1,
Snape  ,People will think you're up to something.,film 1,
Hermione  ,Now what do we do?,film 1,
Harry,We go down the trapdoor. Tonight.,film 1,
Harry  ,Trevor.,film 1,
Ron  ,Trevor shh!,film 1,
Ron  ,"Go, you shouldn't be here!",film 1,
Neville,Neither should you. ,film 1,
Neville,"You're sneaking out again, arent you?",film 1,
Harry  ,"Now, Neville, listen. We were",film 1,
Neville  ,No! I won't let you!,film 1,
Neville  , You'll get Gryffindor in trouble again!,film 1,
Neville  , I-I'll fight you.,film 1,
Hermione ," Neville, I'm really, really sorry about this",film 1,
Hermione , Petrificus Totalus.,film 1,Petrificus Totalus
Ron,You're a little scary sometimes...you know that? ,film 1,
Ron,"Brilliant, but scary.",film 1,
Harry , Let's go. Sorry.,film 1,
Hermione  ,Sorry.,film 1,
Ron  ,"It's for your own good, you know.",film 1,
Hermione ,Ow! You stood on my foot!,film 1,
Ron  ,Sorry.,film 1,
Hermione  ,Alohomora.,film 1,Alohomora
Ron  ,Wait a minute...he's.... ,film 1,
Harry,Snoring,film 1,
Harry  ,Snape's already been here. ,film 1,
Harry  ,He's put a spell on the harp.,film 1,
Ron  ,Uh. It's got horrible breath!,film 1,
Harry  ,We have to move its paw.,film 1,
Ron  ,What?!,film 1,
Harry  ,Come on! Okay. Push! ,film 1,
Harry  ,I'll go first. ,film 1,
Harry  ,Don't follow until I give you a sign.,film 1,
Harry  ,"If something bad happens, get yourselves out…",film 1,
Harry  ,Does it seem a bit...quiet to you?,film 1,
Hermione ,The harp. It stopped playing.,film 1,
Ron  ,Ew! Yuck! Ugh. ,film 1,
Harry  ,Jump! Go! ,film 1,
Ron  ,Ahh! Whoa. ,film 1,
Ron  ,"Lucky this plant-thing is here, really.",film 1,
Harry ,Whoa! Oh. Ahh!,film 1,
Hermione ,"Stop moving, both of you. ",film 1,
Hermione ,This is Devil's Snare. ,film 1,
Hermione ,You have to relax. ,film 1,
Hermione ,"If you don't, it will only kill you faster.",film 1,
Ron  ,Kill us faster?! ,film 1,
Ron  ,"Oh, now I can relax!",film 1,
Ron and Harry,  Hermione!!,film 1,
Ron,Now what are we gonna do?!,film 1,
Hermione,Just relax!,film 1,
Harry  ,Hermione! Where are you?!,film 1,
Hermione,Do what I say. Trust me. ,film 1,
Ron ,Ahh! Harry!,film 1,
Ron,Harry!,film 1,
Hermione,Are you okay?,film 1,
Harry ,"Yeah, yeah, I'm fine.",film 1,
Ron ,Help!,film 1,
Hermione  ,"He's not relaxing, is he?",film 1,
Harry  ,Apparently not.,film 1,
Ron ,Help! Help me!,film 1,
Hermione  ,We've got to do something!,film 1,
Harry  ,What?,film 1,
Hermione  ,Uh! I remember reading something in Herbology. ,film 1,
Ron  ,Help!,film 1,
Hermione,"Um Devil's Snare, Devil's Scare,it's deadly fun...but will sulk in the sun! ",film 1,
Hermione,That's it! Devil's Snare hates sunlight!,film 1,
Hermione,Lumus Solem!,film 1,
Ron  ,Ahhh!,film 1,
Harry ,"Ron, are you okay?",film 1,
Ron,Yeah.,film 1,
Harry  ,Okay.,film 1,
Ron,Whew. Lucky we didn't panic!,film 1,
Harry  ,Lucky Hermione pays attention in Herbology.,film 1,
Hermione  ,What is that?,film 1,
Harry,I don't know. ,film 1,
Harry,Sounds like wings.,film 1,
Hermione  ,Curious. I've never seen birds like these.,film 1,
Harry  ,"They're not birds, they're keys. ",film 1,
Harry  ,And I'll bet one of them fits that door. ,film 1,
Hermione ,What's this all about?,film 1,
Harry  ,I don't know. Strange.,film 1,
Ron   ,Alohomora! ,film 1,Alohomora
Ron   ,"Well, it was worth a try.",film 1,
Hermione  ,Ugh! What're we going to do? ,film 1,
Hermione  ,There must be 1000 keys up there!,film 1,
Ron  ,We're looking for a big old fashioned one. ,film 1,
Ron  ,Probably rusty like the handle.,film 1,
Harry  ,There! I see it!,film 1,
Harry  ,The one with the broken wing!,film 1,
Hermione  ,"What's wrong, Harry?",film 1,
Harry  ,It's too simple.,film 1,
Ron  ,"Oh, go on, Harry! ",film 1,
Ron  ,"If Snape can catch it on that old broomstick, you can! ",film 1,
Ron  ,You're the youngest seeker in a century!,film 1,
Ron  ,This complicates things a bit!,film 1,
Harry  ,Catch the key!,film 1,
Ron  ,Hurry up!,film 1,
Hermione  ,I don't like this. ,film 1,
Hermione  ,I don't like this at all.,film 1,
Harry  ,Where are we? A graveyard.,film 1,
Ron ,This is no graveyard. ,film 1,
Ron ,It's a chessboard.,film 1,
Harry ,There's the door.,film 1,
Hermione  ,Now what do we do?,film 1,
Ron ," It's obvious, isn't it? ",film 1,
Ron ,We've got to play our way across the room. ,film 1,
Ron ,"All right. Harry, you take the empty Bishop's square. ",film 1,
Ron ,"Hermione, you'll be the Queen's side castle. ",film 1,
Ron ,"As for me, I'll be a knight.",film 1,
Hermione ,What happens now?,film 1,
Ron,"Well, white moves first, and then...we play. ",film 1,
Hermione ,"Ron, you don't suppose this is going to be like...real wizard's chess, do you?",film 1,
Ron  ,You there! D-5! ,film 1,
Ron  ,"Yes, Hermione, I think this is going to be exactly like wizard's chess!",film 1,
Ron  ,Castle to E-4!  ,film 1,
Ron  ,Pawn to C-3!,film 1,
Harry  ,Wait a minute.,film 1,
Ron  ,"You understand right, Harry. ",film 1,
Ron  ,"Once I make my move, the Queen will take me...then you'll be free to check the King.",film 1,
Harry  ,"No, Ron! No!",film 1,
Hermione , What is it?,film 1,
Harry  ,He's going to sacrifice himself!,film 1,
Hermione ,"No, Ron, you can't!",film 1,
Hermione ,There must be another way!,film 1,
Ron,Do you want to stop Snape from getting that Stone or not?,film 1,
Ron,"Harry, it's you that has to go on. I know it. ",film 1,
Ron,"Not me, not Hermione, you. ",film 1,
Ron,Knight...to H-3.,film 1,
Ron  ,Check.,film 1,
Ron  ,Ahhhh!,film 1,
Harry  ,RON! ,film 1,
Harry  ,"NO! Don't move! Dont forget, we're still playing. ",film 1,
Harry  ,Checkmate. ,film 1,
Harry  ,"Take care of Ron. Then, go to the owlery. ",film 1,
Harry  ,Send a message to Dumbledore. ,film 1,
Harry  ,Ron's right...I have to go on.,film 1,
Hermione  ,"You'll be okay, Harry. ",film 1,
Hermione  ,"You're a great wizard, you really are.",film 1,
Harry  ,Not as good as you.,film 1,
Hermione,Me? Books and cleverness? ,film 1,
Hermione,There are more important things. ,film 1,
Hermione,"Friendship, and bravery. ",film 1,
Hermione,"And Harry, just be careful.",film 1,
Harry ,You? No. It can't be...Snape. He was the one,film 1,
Quirrell ,"Yes. He does seem the type, doesn't he? ",film 1,
Quirrell ,"Next to him, who would suspect, ""p-p-poor s-stuttering Professor Quirrell?""",film 1,
Harry  ,"B-but, that day, during the Quidditch Match, Snape tried to kill me.",film 1,
Quirrell  ,"No, dear boy. I tried to kill you! ",film 1,
Quirrell  ,"And trust me, if Snape's cloak hadn't caught fire and broken my eye contact, I would have succeeded. ",film 1,
Quirrell  ,Even with Snape muttering his little counter-curse.,film 1,
Harry  ,Snape was trying to...save me?,film 1,
Quirrell ,I knew you were a danger right from the off. ,film 1,
Quirrell ,Especially after Halloween.,film 1,
Harry ,Th-then you let the troll in.,film 1,
Quirrell  ,"Very good Potter, yes. ",film 1,
Quirrell  ,"Snape, unfortunately, wasn't fooled. ",film 1,
Quirrell  ,"While everyone else was running to the dungeon, he went to the 3rd floor to head me off. ",film 1,
Quirrell  ,"He, of course, never trusted me again.",film 1,
Quirrell  ,He rarely left me alone. ,film 1,
Quirrell  ,But he doesn't understand. ,film 1,
Quirrell  ,I'm never alone. Never. ,film 1,
Quirrell  ,Now...what does this mirror do? ,film 1,
Quirrell  ,I see what I desire. ,film 1,
Quirrell  ,I see myself holding the stone. ,film 1,
Quirrell  ,But how do I get it?,film 1,
Voldemort ,Use the boy,film 1,
Quirrell  ,"Come here, Potter, now!",film 1,
Quirrell  ,Tell me. What do you see?,film 1,
Quirrell ,What is it?! What do you see?!,film 1,
Harry  ,I-I'm shaking hands with Dumbledore. ,film 1,
Harry  ,I've won the house cup.,film 1,
Voldemort,He lies.,film 1,
Quirrell,Tell the truth! What do you see?!,film 1,
Voldemort,Let me speak to him.,film 1,
Quirrell  ,"Master, you are not strong enough.",film 1,
Voldemort,I have strength enough for this. ,film 1,
Voldemort,Harry Potter. We meet again.,film 1,
Harry ,Voldemort.,film 1,
Voldemort  ,Yes. You see what I have become? ,film 1,
Voldemort  ,See what I must do to survive? ,film 1,
Voldemort  ,Live off another. A mere parasite. ,film 1,
Voldemort  ,"Unicorn blood can sustain me, but it cannot give me a body of my own. ",film 1,
Voldemort  ,But there is something that can. ,film 1,
Voldemort  ,"Something, that conveniently enough, lies in your pocket!",film 1,
Voldemort  ,Stop him! ,film 1,
Voldemort  ,Don't be a fool! ,film 1,
Voldemort  ,Why suffer a horrific death when you can join me and live?!,film 1,
Harry  ,Never!,film 1,
Voldemort  ,Haha. Bravery. Your parents had it too. ,film 1,
Voldemort  ,"Tell me, Harry, would you like to see your mother and father again? ",film 1,
Voldemort  ,"Together, we can bring them back. ",film 1,
Voldemort  ,All I ask for is something in return. ,film 1,
Voldemort  ,"That's it, Harry. ",film 1,
Voldemort  ,There is no good and evil. ,film 1,
Voldemort  ,"There is only power, and those too weak to seek it. ",film 1,
Voldemort  ,"Together, we'll do extraordinary things. ",film 1,
Voldemort  ,Just give me the stone! ,film 1,
Harry  ,You liar!,film 1,
Voldemort,Kill him!,film 1,
Quirrell ,Ahh! Ahh! What is this magic?,film 1,
Voldemort  ,Fool! Get the stone!,film 1,
Quirrell,Ahhhhhhhhhh!,film 1,
Voldemort  ,Arrrhhhhhh!,film 1,
Harry  ,Ahhhhhhhhh!,film 1,
Dumbledore ,"Good afternoon, Harry. ",film 1,
Dumbledore ,Ah. Tokens from your admirers?,film 1,
Harry ,Admirers?,film 1,
Dumbledore,"What happened down in the dungeons between you and Professor Quirrell is a complete secret, so, naturally, the whole school knows. ",film 1,
Dumbledore,"Ah, I see your friend Ronald has saved you the trouble of opening your Chocolate Frogs.",film 1,
Harry ,Ron was here? ,film 1,
Harry ,Is he all right? ,film 1,
Harry ,What about Hermione?,film 1,
Dumbledore  ,Fine. They're both just fine.,film 1,
Harry ,"But, what happened to the Stone?",film 1,
Dumbledore  ,"Relax, dear boy. The stone has been destroyed. ",film 1,
Dumbledore  ,My friend Nicholas and I had a little chat and agreed it was best all around.,film 1,
Harry,"But Flamel, he'll die, won't he?",film 1,
Dumbledore,He has enough Elixir to set his affairs in order. ,film 1,
Dumbledore,"But yes, he will die.",film 1,
Harry  ,"How is it I got the Stone, sir? ",film 1,
Harry  ,"One minute I was staring in the mirror, and the next...",film 1,
Dumbledore,"Ah. You see, only a person who wanted to find the Stone, find it, but not use it, would be able to get it. ",film 1,
Dumbledore,That is one of my more brilliant ideas. ,film 1,
Dumbledore,And between you and me thats saying something.,film 1,
Harry  ,"Does that mean, with the Stone gone, I mean, that Voldemort can never come back?",film 1,
Dumbledore ,"Ah, I'm afraid there are ways in which he can return. ",film 1,
Dumbledore ,"Harry, do you know why Professor Quirrell couldn't bear to have you touch him?",film 1,
Dumbledore ,It was because of your mother. ,film 1,
Dumbledore ,"She sacrificed herself for you, and that kind of act leaves a mark. ",film 1,
Dumbledore ,"No, no, this kind of mark cannot be seen.",film 1,
Dumbledore ,It lives in your very skin.,film 1,
Harry ,What is it?,film 1,
Dumbledore,"Love, Harry, love. ",film 1,
Dumbledore,Ah. Bertie Bott's Every Flavour Beans. ,film 1,
Dumbledore,"I was most unfortunate in my youth to come across a vomit flavoured one, and since then I have lost my liking for them. ",film 1,
Dumbledore,But I think I could be safe with a nice toffee...,film 1,
Dumbledore,Mm. Alas. Earwax.,film 1,
Harry,"All right there, Ron?",film 1,
Ron,All right? You?,film 1,
Harry,All right. Hermione?,film 1,
Hermione,Never better.,film 1,
Dumbledore,Another year gone. ,film 1,
Dumbledore,"And now, as I understand it, the house cup needs awarding, and the points stand thus. ",film 1,
Dumbledore,"In fourth place, Gryffindor with 312 points. ",film 1,
Dumbledore,"Third place, Hufflepuff, with 352 points. ",film 1,
Dumbledore,"In second place, Ravenclaw, with 426 points",film 1,
Dumbledore,"And in first place, with 472 points, Slytherin House.",film 1,
Students,Whoo! Yeah!,film 1,
Malfoy,"Nice one, Mate! ",film 1,
Dumbledore ,"Yes, yes, well done Slytherin, well done Slytherin. ",film 1,
Dumbledore ,"However, recent events must be taken into account. ",film 1,
Dumbledore ,And I have a few last minute points to award. ,film 1,
Dumbledore ,"To Miss Hermione Granger, for the use of cool intellect when others were in great peril, 50 points. ",film 1,
Harry,Good job.,film 1,
